4F0	4F1	# Ӱ => ӱ
4F2	4F3	# Ӳ => ӳ
4F4	4F5	# Ӵ => ӵ
4F6	4F7	# Ӷ => ӷ
4F8	4F9	# Ӹ => ӹ
4FA	4FB	# Ӻ => ӻ
4FC	4FD	# Ӽ => ӽ
4FE	4FF	# Ӿ => ӿ
500	501	# Ԁ => ԁ
502	503	# Ԃ => ԃ
504	505	# Ԅ => ԅ
506	507	# Ԇ => ԇ
508	509	# Ԉ => ԉ
50A	50B	# Ԋ => ԋ
50C	50D	# Ԍ => ԍ
50E	50F	# Ԏ => ԏ
510	511	# Ԑ => ԑ
512	513	# Ԓ => ԓ
514	515	# Ԕ => ԕ
516	517	# Ԗ => ԗ
518	519	# Ԙ => ԙ
51A	51B	# Ԛ => ԛ
51C	51D	# Ԝ => ԝ
51E	51F	# Ԟ => ԟ
520	521	# Ԡ => ԡ
522	523	# Ԣ => ԣ
524	525	# Ԥ => ԥ
526	527	# Ԧ => ԧ
528	529	# Ԩ => ԩ
52A	52B	# Ԫ => ԫ
52C	52D	# Ԭ => ԭ
52E	52F	# Ԯ => ԯ
531	561	# Ա => ա
532	562	# Բ => բ
533	563	# Գ => գ
534	564	# Դ => դ
535	565	# Ե => ե
536	566	# Զ => զ
537	567	# Է => է
538	568	# Ը => ը
539	569	# Թ => թ
53A	56A	# Ժ => ժ
53B	56B	# Ի => ի
53C	56C	# Լ => լ
53D	56D	# Խ => խ
53E	56E	# Ծ => ծ
53F	56F	# Կ => կ
540	570	# Հ => հ
541	571	# Ձ => ձ
542	572	# Ղ => ղ
543	573	# Ճ => ճ
544	574	# Մ => մ
545	575	# Յ => յ
546	576	# Ն => ն
547	577	# Շ => շ
548	578	# Ո => ո
549	579	# Չ => չ
54A	57A	# Պ => պ
54B	57B	# Ջ => ջ
54C	57C	# Ռ => ռ
54D	57D	# Ս => ս
54E	57E	# Վ => վ
54F	57F	# Տ => տ
550	580	# Ր => ր
551	581	# Ց => ց
552	582	# Ւ => ւ
553	583	# Փ => փ
554	584	# Ք => ք
555	585	# Օ => օ
556	586	# Ֆ => ֆ
10A0	2D00	# Ⴀ => ⴀ
10A1	2D01	# Ⴁ => ⴁ
10A2	2D02	# Ⴂ => ⴂ
10A3	2D03	# Ⴃ => ⴃ
10A4	2D04	# Ⴄ => ⴄ
10A5	2D05	# Ⴅ => ⴅ
10A6	2D06	# Ⴆ => ⴆ
10A7	2D07	# Ⴇ => ⴇ
10A8	2D08	# Ⴈ => ⴈ
10A9	2D09	# Ⴉ => ⴉ
10AA	2D0A	# Ⴊ => ⴊ
10AB	2D0B	# Ⴋ => ⴋ
10AC	2D0C	# Ⴌ => ⴌ
10AD	2D0D	# Ⴍ => ⴍ
10AE	2D0E	# Ⴎ => ⴎ
10AF	2D0F	# Ⴏ => ⴏ
10B0	2D10	# Ⴐ => ⴐ
10B1	2D11	# Ⴑ => ⴑ
10B2	2D12	# Ⴒ => ⴒ
10B3	2D13	# Ⴓ => ⴓ
10B4	2D14	# Ⴔ => ⴔ
10B5	2D15	# Ⴕ => ⴕ
10B6	2D16	# Ⴖ => ⴖ
10B7	2D17	# Ⴗ => ⴗ
10B8	2D18	# Ⴘ => ⴘ
10B9	2D19	# Ⴙ => ⴙ
10BA	2D1A	# Ⴚ => ⴚ
10BB	2D1B	# Ⴛ => ⴛ
10BC	2D1C	# Ⴜ => ⴜ
10BD	2D1D	# Ⴝ => ⴝ
10BE	2D1E	# Ⴞ => ⴞ
10BF	2D1F	# Ⴟ => ⴟ
10C0	2D20	# Ⴠ => ⴠ
10C1	2D21	# Ⴡ => ⴡ
10C2	2D22	# Ⴢ => ⴢ
10C3	2D23	# Ⴣ => ⴣ
10C4	2D24	# Ⴤ => ⴤ
10C5	2D25	# Ⴥ => ⴥ
10C7	2D27	# Ⴧ => ⴧ
10CD	2D2D	# Ⴭ => ⴭ
1E00	1E01	# Ḁ => ḁ
1E02	1E03	# Ḃ => ḃ
1E04	1E05	# Ḅ => ḅ
1E06	1E07	# Ḇ => ḇ
1E08	1E09	# Ḉ => ḉ
1E0A	1E0B	# Ḋ => ḋ
1E0C	1E0D	# Ḍ => ḍ
